Date,Close
2017-01-03,48.099998
2017-01-04,48.5
2017-01-05,48.939999
2017-01-06,48.700001
2017-01-09,48.529999
2017-01-10,48.52
2017-01-11,48.77
2017-01-12,48.82
2017-01-13,49.029999
2017-01-17,49.029999
2017-01-18,48.830002
2017-01-19,48.73
2017-01-20,49
2017-01-23,49.16
2017-01-24,49.27
2017-01-25,49.860001
2017-01-26,49.540001
2017-01-27,49.529999
2017-01-30,49.119999
2017-01-31,49.360001
2017-02-01,49.509998
2017-02-02,49.470001
2017-02-03,49.650002
2017-02-06,49.18
2017-02-07,49.200001
2017-02-08,49.290001
2017-02-09,49.459999
2017-02-10,49.470001
2017-02-13,49.650002
2017-02-14,49.66
2017-02-15,49.889999
2017-02-16,50.09
2017-02-17,49.91
2017-02-21,49.919998
2017-02-22,49.91
2017-02-23,50.029999
2017-02-24,49.580002
2017-02-27,49.700001
2017-02-28,49.650002
2017-03-01,50.169998
2017-03-02,49.98
2017-03-03,50.380001
2017-03-06,50.139999
2017-03-07,49.889999
2017-03-08,49.689999
2017-03-09,50.07
2017-03-10,50.52
2017-03-13,50.700001
2017-03-14,50.290001
2017-03-15,51.029999
2017-03-16,51.560001
2017-03-17,51.630001
2017-03-20,51.509998
2017-03-21,51.360001
2017-03-22,51.110001
2017-03-23,51.279999
2017-03-24,51.369999
2017-03-27,51.59
2017-03-28,51.639999
2017-03-29,51.580002
2017-03-30,51.439999
2017-03-31,51.57
2017-04-03,51.360001
2017-04-04,51.400002
2017-04-05,51.130001
2017-04-06,51.299999
2017-04-07,51.220001
2017-04-10,51.150002
2017-04-11,51.5
2017-04-12,51.529999
2017-04-13,51.16
2017-04-17,51.509998
2017-04-18,51.27
2017-04-19,51.139999
2017-04-20,51.5
2017-04-21,51.439999
2017-04-24,53.32
2017-04-25,53.77
2017-04-26,53.580002
2017-04-27,53.68
2017-04-28,53.580002
2017-05-01,53.790001
2017-05-02,54.259998
2017-05-03,54.09
2017-05-04,54.880001
2017-05-05,55.59
2017-05-08,54.950001
2017-05-09,54.91
2017-05-10,55.040001
2017-05-11,54.91
2017-05-12,55.32
2017-05-15,55.619999
2017-05-16,56.150002
2017-05-17,55.389999
2017-05-18,55.41
2017-05-19,56.189999
2017-05-22,56.349998
2017-05-23,56.299999
2017-05-24,56.380001
2017-05-25,56.369999
2017-05-26,56.119999
2017-05-30,56.02
2017-05-31,56.209999
2017-06-01,56.599998
2017-06-02,56.970001
2017-06-05,56.59
2017-06-06,56.369999
2017-06-07,56.400002
2017-06-08,56.200001
2017-06-09,56
2017-06-12,55.68
2017-06-13,56.139999
2017-06-14,56.080002
2017-06-15,55.330002
2017-06-16,56.049999
2017-06-19,56.25
2017-06-20,55.610001
2017-06-21,54.880001
2017-06-22,54.810001
2017-06-23,55
2017-06-26,55.130001
2017-06-27,55.27
2017-06-28,55.740002
2017-06-29,55.07
2017-06-30,55.139999
2017-07-03,55.130001
2017-07-05,55.130001
2017-07-06,54.93
2017-07-07,55.080002
2017-07-10,55.200001
2017-07-11,55.240002
2017-07-12,55.709999
2017-07-13,55.939999
2017-07-14,56.369999
2017-07-17,56.27
2017-07-18,56.25
2017-07-19,56.369999
2017-07-20,56.669998
2017-07-21,56.380001
2017-07-24,56.169998
2017-07-25,56.299999
2017-07-26,56.720001
2017-07-27,56.48
2017-07-28,56.540001
2017-07-31,56.700001
2017-08-01,57.029999
2017-08-02,57.080002
2017-08-03,57.130001
2017-08-04,57.25
2017-08-07,57.290001
2017-08-08,56.91
2017-08-09,56.880001
2017-08-10,55.990002
2017-08-11,55.889999
2017-08-14,56.34
2017-08-15,56.25
2017-08-16,56.59
2017-08-17,55.91
2017-08-18,55.959999
2017-08-21,55.990002
2017-08-22,56.279999
2017-08-23,56.299999
2017-08-24,56.200001
2017-08-25,56.66
2017-08-28,56.630001
2017-08-29,56.380001
2017-08-30,56.290001
2017-08-31,56.740002
2017-09-01,56.849998
2017-09-05,56.52
2017-09-06,56.959999
2017-09-07,57.490002
2017-09-08,57.459999
2017-09-11,57.93
2017-09-12,58.150002
2017-09-13,57.77
2017-09-14,58
2017-09-15,58.049999
2017-09-18,58.139999
2017-09-19,58.43
2017-09-20,58.040001
2017-09-21,58.029999
2017-09-22,58.200001
2017-09-25,57.759998
2017-09-26,57.549999
2017-09-27,57.619999
2017-09-28,57.869999
2017-09-29,58.330002
2017-10-02,58.16
2017-10-03,58.389999
2017-10-04,58.279999
2017-10-05,58.209999
2017-10-06,58.139999
2017-10-09,58.110001
2017-10-10,58.740002
2017-10-11,58.869999
2017-10-12,58.790001
2017-10-13,58.849998
2017-10-16,58.689999
2017-10-17,58.43
2017-10-18,58.73
2017-10-19,58.549999
2017-10-20,58.41
2017-10-23,58.209999
2017-10-24,58.209999
2017-10-25,58.169998
2017-10-26,58.040001
2017-10-27,57.959999
2017-10-30,58.310001
2017-10-31,58.599998
2017-11-01,58.540001
2017-11-02,58.689999
2017-11-03,58.580002
2017-11-06,58.669998
2017-11-07,58.169998
2017-11-08,58.200001
2017-11-09,57.779999
2017-11-10,57.68
2017-11-13,57.369999
2017-11-14,57.57
2017-11-15,57.27
2017-11-16,57.709999
2017-11-17,57.529999
2017-11-20,57.619999
2017-11-21,57.98
2017-11-22,58.169998
2017-11-24,58.700001
2017-11-27,58.290001
2017-11-28,58.650002
2017-11-29,58.439999
2017-11-30,58.57
